Bird_ID,Species,Origin,Destination
B3997,Stork,"-78.23275731966534, 98.78752413648432","-23.35964518741125, -5.047132123352839"
B3998,Stork,"-35.09833725058945, -80.75150239639001","80.11692474712888, 33.3069938833639"
B3999,Hawk,"-12.555720623025664, -6.865390957165346","-87.61803003526465, -45.92260171617957"
B4000,Warbler,"-40.45993934772851, 154.40302963037965","4.494039336335192, 61.2603222307722"
B4001,Eagle,"27.262774452585248, 90.79766291697727","49.51379831180751, -132.89625686213648"
B4002,Stork,"-54.880572289388056, -161.01435733593416","42.510422912844064, 77.389734109198"
B4003,Goose,"36.74539735131056, -177.0643459946053","-23.83661031516327, 28.73293714105131"
B4004,Hawk,"49.16713354000743, 103.46685331694688","6.416696130626406, -4.869849587115141"
B4005,Stork,"-67.6225246327829, 18.900085312330447","-88.9960869561826, -134.04585601154707"
B4006,Warbler,"27.145123805337832, 79.32038737057229","6.26944854631158, -79.82478738121559"
B4007,Eagle,"83.05847566202053, -123.54648414241912","16.272220751895915, -73.69323169695048"
B4008,Hawk,"-55.29171289259759, 133.93722598942327","67.46244076659795, -95.82744459242345"
B4009,Crane,"73.67450960090781, 98.39699244520632","-52.06729143418174, 163.50470154734484"
B4010,Eagle,"19.088630869323, 140.70200905966095","58.52622823340556, 149.63096082565556"
B4011,Goose,"16.370076119708145, -57.20541024331051","39.25197193595548, 16.60795698213019"
B4012,Stork,"-80.65391718224392, -80.74612969803133","29.885555679479936, -105.9578700335196"
B4013,Warbler,"44.69405010955168, -125.37668162738632","-19.010191625863257, 148.0098114262761"
B4014,Crane,"-3.910850523349524, 154.83186286091893","-23.86181134122289, 89.78635182822262"
B4015,Warbler,"39.81139053032413, -116.34148671917734","36.58702003808133, -166.04213797654663"
B4016,Crane,"55.652598620389085, -137.0457958638582","88.24017856539629, -3.34385217486232"
B4017,Hawk,"4.283347207010138, -110.63584476475836","-17.03632334783319, 37.78006431875775"
B4018,Crane,"-42.54402360990345, 97.69742163364076","75.34795996740888, -156.06958893716606"
B4019,Goose,"-64.5169515492936, 140.23052459383712","15.578114825593827, -162.06082878393914"
B4020,Goose,"-61.10943697216543, 111.92884433871274","66.26981764257508, -13.131374945334985"
B4021,Swallow,"66.04823771024377, 22.765879033662515","-50.905719532452, -179.29738319845404"
B4022,Goose,"-67.75594278653003, 177.79833027998035","47.20177345400782, -163.1391986119909"
B4023,Eagle,"-20.755066851617684, -155.21253678235843","60.28983193352849, -120.55044102770164"
B4024,Crane,"-29.83056366797445, 132.1890040157852","59.79044518223873, 147.58947865048037"
B4025,Goose,"65.78202001301463, -26.023009783043197","51.24804816591521, 95.86206972457472"
B4026,Hawk,"-4.01516987502751, -16.155954466032085","-35.24478664811205, -17.846638474576764"
B4027,Warbler,"89.36035512266477, -134.06583828553903","3.9510395609987223, -7.485959709481307"
B4028,Warbler,"42.66985433456605, -167.96412923262176","-36.05313956852308, 66.9688376781366"
B4029,Swallow,"63.16624357277141, -66.01380261500402","-28.266136792431688, -9.220846923067398"
B4030,Warbler,"-72.23899211519853, -117.05272807898548","-35.78060095412356, -156.9869608151172"
B4031,Crane,"-44.441594052318734, -5.998047814327833","-38.83913135970484, 85.94329502412347"
B4032,Swallow,"-65.61968479707092, -126.9610106206421","34.8159010515416, -159.2100627680521"
B4033,Crane,"-6.5480449678992585, -130.34601485918074","27.04746587663115, -5.006472318709513"
B4034,Hawk,"39.29174786914376, 135.7124342773858","-53.23243776783765, 130.21470345515638"
B4035,Swallow,"-59.56855772345997, 151.66609247750722","34.47336961800612, -137.74330798990798"
B4036,Stork,"-66.56966197744701, 167.11783509164758","-37.60765273059398, 74.38604848994461"
B4037,Eagle,"20.62957478047926, 64.98087943460828","-53.69069978103559, -163.3219468016133"
B4038,Eagle,"-48.543704322583686, 97.56594172651296","44.50533847234695, 177.50146265257823"
B4039,Crane,"-3.7214870843266254, 120.88251188734648","-24.683743294410576, 65.55109691597372"
B4040,Warbler,"-80.79880900901081, 57.21194128343922","12.483094378439487, 168.8362627992252"
B4041,Stork,"32.51030617214367, -61.11248230708951","-53.97768711618725, 60.560627258606246"
B4042,Swallow,"7.436948695569654, -123.70068056393131","20.46489071866557, -92.77806950921392"
B4043,Stork,"26.5361218125539, -94.58160942306596","-52.5611817741023, 153.49122489945682"
B4044,Stork,"-40.42685158924572, 122.54905850578656","-59.96215378195175, 45.60126653850949"
B4045,Warbler,"-39.8514644349244, 70.59500578326285","-20.42485707868022, 27.337338218824986"
B4046,Swallow,"54.24489595633648, -15.91352513058544","52.211131094684816, -25.51971852110609"
B4047,Hawk,"39.34121633726872, -169.414172215037","-58.22381731319142, -77.54619261292692"
B4048,Warbler,"14.351157215750632, -84.16642664380208","-68.93521784755652, 10.82504507290514"
B4049,Stork,"23.06582564077449, 82.40309752527497","-84.30341535687315, -48.21922482796151"
B4050,Stork,"-73.07204768980102, 4.459404634208255","-15.126163824522877, 127.44878556847787"
B4051,Hawk,"64.11083480122565, -23.20830198631799","-39.23548831855615, -169.63252489160743"
B4052,Stork,"48.58326594209928, -67.0754157192332","-37.42047888978623, 10.83293455571956"
B4053,Stork,"16.288476088220577, 38.49545900772861","86.74954970312655, 121.163359886183"
B4054,Stork,"75.34712359816328, 167.8987387338081","-55.05778747709619, -170.06170630212603"
B4055,Eagle,"-59.64517661410804, 144.4045115871022","-7.483130906505238, -78.37103654465554"
B4056,Warbler,"33.59832948615002, -169.02074228965847","87.54627082302093, -161.45187961162029"
B4057,Goose,"83.33671997738895, -6.85662386995952","-84.48875052803768, 34.20135713215558"
B4058,Warbler,"-34.19838637741424, -61.39105270309884","35.39834004156491, -65.97501321897643"
B4059,Hawk,"-87.24738346784828, 3.817678442328344","-23.20506859438443, 165.50281364973324"
B4060,Stork,"42.27614405444396, 38.23692835381732","73.09757045011798, 41.86569813684241"
B4061,Warbler,"-88.74354159789713, -107.98989552088317","74.1494587908733, 22.248721688583288"
B4062,Eagle,"67.05605685279008, 101.36450503737228","-20.301707530927985, 150.20631552440284"
B4063,Hawk,"-79.86577462135743, -8.975501969052118","-50.13657624955243, -99.51285381447012"
B4064,Crane,"27.497651376937892, 177.1221797633686","-12.959381105852358, 22.407213428210724"
B4065,Warbler,"-22.10685400383292, -170.95414113231797","83.75512943059155, 15.401748584996994"
B4066,Crane,"-53.398682330988095, -111.70109657287496","-39.34825395831838, -150.438875648063"
B4067,Stork,"71.68651197368922, 68.26672820174332","86.63720368194586, 155.54152309462415"
B4068,Eagle,"44.32425334683521, 70.26470874920116","57.49046960342886, 72.08450361428689"
B4069,Eagle,"-28.720698094213176, 29.58776079010019","-41.85858032348577, 139.7181058847566"
B4070,Warbler,"-38.8524432856995, 169.90561032862632","52.392504074922215, 173.71345928458453"
B4071,Hawk,"42.48221294900509, -30.486596860823965","-81.03610023621714, -7.324573572673245"
B4072,Hawk,"60.58273726913947, -29.86674765569302","8.651407779790688, 109.31754315099482"
B4073,Eagle,"38.8530835732457, 147.77149076070242","-25.67715494961834, 27.921504810725253"
B4074,Hawk,"25.19806050643345, 13.839041518851843","-13.151520290932568, 171.76429756906276"
B4075,Eagle,"-48.97354946604322, -52.65804182918384","-4.886219146633636, -90.99950972123251"
B4076,Warbler,"63.504716989765, 78.81767490018927","0.4882968358675299, -175.02581844346875"
B4077,Goose,"44.93915702250749, 43.081422547509874","28.15420940801769, -113.05887434379918"
B4078,Eagle,"3.109372157954596, -69.69238189682706","35.41986500080732, -133.91323847684765"
B4079,Crane,"2.085797208020523, -72.74563269076236","85.62672659132929, -22.697167921719057"
B4080,Hawk,"12.451145005322346, -37.579392890188274","47.30016037040659, -152.13232665021894"
B4081,Eagle,"59.08975095215928, -154.21677636233028","33.80359962902422, -100.7288146296816"
B4082,Eagle,"43.60671879076034, 159.34208489555004","-19.35740089247159, -145.3442830110659"
B4083,Warbler,"64.124098910259, -114.11278552920058","-68.79454839229584, -4.768999827106171"
B4084,Hawk,"1.3108988985700307, -110.22325116202062","-79.41808449977971, -83.9602540489314"
B4085,Goose,"22.436830623286298, 52.93382580614795","-4.016752141473958, -10.437372655698454"
B4086,Warbler,"63.82292524127632, 80.72893702793203","30.28620827290699, -148.0002839839884"
B4087,Goose,"-48.18238916819124, 85.26076545595407","27.028773226514488, 6.0734397654133545"
B4088,Warbler,"-10.076277553879676, -44.97299153847683","81.51505563152125, -133.17508733116298"
B4089,Hawk,"21.717402656289664, 134.3984230475732","-21.16260481637883, -144.2352774886705"
B4090,Swallow,"74.72632632445826, 15.839662229295982","23.00108638312845, -68.39296176392938"
B4091,Hawk,"-87.14951801169751, -22.10848122148002","69.81728793844411, 134.79029152653385"
B4092,Hawk,"-51.736831528819046, 111.73912591164026","-17.266003815960673, 103.867705053851"
B4093,Goose,"-47.79890860296773, -92.31795027941844","-4.00623248687657, 165.29392882776625"
B4094,Goose,"-31.20971755287704, 129.66675963678688","76.13512126395861, -14.329704821342489"
B4095,Hawk,"-39.27840832427779, 13.978582043373905","9.04355154542047, -67.52108770930784"
B4096,Hawk,"16.224981401202953, 144.02093676232914","53.92978888771657, 169.5264234683748"
B4097,Hawk,"69.41164756585417, -107.4194888199267","78.41229052009876, -42.56349182357357"
B4098,Goose,"24.6560113930301, 156.9827073608733","12.790446940080358, -176.72277376183288"
B4099,Hawk,"-46.52521938821536, 67.63562711006045","-70.34634558100699, 115.23910097222966"
B4100,Hawk,"65.47551301261521, 42.5982696488588","57.905991679389984, -119.08420525203026"
B4101,Stork,"23.768242046552388, -28.05569298611735","57.200789771334655, 78.44847428425055"
B4102,Swallow,"-50.58681750217772, 164.2733999876607","-69.30266501816723, -174.55611943715036"
B4103,Crane,"-24.900023310029425, -20.188933807855392","8.661267290800978, -140.0435409205922"
B4104,Swallow,"52.19366521316087, -0.5245371188727006","-2.324585618581608, -5.917120813506244"
B4105,Stork,"43.007612667680576, 101.33931909071254","62.48932788715115, -155.55671046726255"
B4106,Crane,"13.784826511015666, -77.4567253394258","-40.56699015762032, 139.90712244731503"
B4107,Warbler,"-63.94184950669887, -75.06168738703495","-13.27001250851984, 89.95286205668305"
B4108,Hawk,"54.59207351661075, 99.1071675436392","18.86238805304409, -61.85328767273885"
B4109,Stork,"-34.64234486050534, -133.71127589156114","3.104134675383293, 35.10734918281324"
B4110,Warbler,"48.88762901984924, 116.2672273054884","81.90616944483932, 77.5896246911168"
B4111,Hawk,"26.56194583720658, 45.063002991545375","82.91831899190274, 91.9437079060483"
B4112,Goose,"-42.44934930416672, 14.070155905177586","-75.31695165880748, -37.55665638436389"
B4113,Eagle,"-51.7735389361218, -97.52062241524266","-36.3875413869296, 143.56807946502943"
B4114,Stork,"-66.43621381361062, 103.09254096398718","-88.64373317191726, 159.04250281691088"
B4115,Goose,"-46.44967741413916, 109.78311222314971","-14.785137269157032, -109.54250955863374"
B4116,Stork,"-61.5907759591548, -6.140927564453591","29.185029518628497, 148.0459679060794"
B4117,Stork,"21.06922460179524, -39.89916905140484","-5.168739404544311, 76.56498396084305"
B4118,Goose,"17.780961415905637, -91.38173849138168","-77.90726275917419, 139.7297030894576"
B4119,Crane,"15.510970823903492, 91.524246152103","-54.72787724995268, -27.08846343220017"
B4120,Swallow,"25.54016566047092, 50.20269232561424","-58.80755730591964, 58.03111496529377"
B4121,Hawk,"56.66121611362195, -105.61282942793122","2.0030921566062574, -95.2632798291914"
B4122,Stork,"74.43948807896462, 106.00850868656426","31.982402833720684, 90.39663086280864"
B4123,Hawk,"-48.532403177682816, 137.59391280904543","-33.061423832888686, 29.42406113295283"
B4124,Eagle,"15.799408230406629, -158.6709854106315","-66.5171884181456, -6.859759719815315"
B4125,Goose,"-75.89948017549114, 98.07142968865486","53.74757665306242, 69.365379698255"
B4126,Hawk,"-68.37436109599288, 127.00869603395488","64.50513062686679, 18.84429760556065"
B4127,Goose,"27.78107633305028, 176.9428438108369","-40.23212157994488, 95.5277539823104"
B4128,Hawk,"-2.415498895718855, -94.46346038254792","-14.265413574982604, 129.03698405348746"
B4129,Swallow,"46.49977563019809, -46.438846122869","-75.25240152723623, 108.21826960376524"
B4130,Swallow,"-13.37805342169716, 167.82879319231648","-49.01449262508722, -69.29761265606803"
B4131,Swallow,"-67.03228677007114, -146.1544018943096","48.06006804903316, 171.4029168829088"
B4132,Swallow,"66.96965768954857, 8.53482380931149","-24.2643798706425, 53.906854648506624"
B4133,Swallow,"-75.08007519384199, 2.4280487416395715","18.8446077723154, -63.55206860980779"
B4134,Swallow,"-55.98636434363124, 38.35718599721892","80.3132064689911, -164.6708849004223"
B4135,Goose,"-40.14416412686682, -60.91465865533557","40.25481224779699, 175.71470749301693"
B4136,Stork,"89.15050927177683, 153.3305119218449","-8.378606769524396, 35.64626163939809"
B4137,Hawk,"-14.9652323683229, -82.77794605473379","-23.96154413416073, -98.08550549753636"
B4138,Swallow,"0.3075354860606865, 53.89038633038484","-55.7051373070262, -3.195431597635292"
B4139,Goose,"48.54541517529631, -1.4662718082229844","46.10521313650372, -36.88542709885744"
B4140,Goose,"24.554805360986464, -83.99755710717123","-69.76346055128265, 162.49148629109243"
B4141,Goose,"61.45572454944002, -112.01263353992628","-78.94913573180872, -2.642059737258421"
B4142,Stork,"-2.441977454179124, 164.3623647327572","-71.13083845246925, -5.519640423383123"
B4143,Hawk,"84.99198374877994, 22.06492617448293","-46.27703036434879, 106.0558947800224"
B4144,Stork,"53.42622508553544, 37.50872840079904","22.88221467660918, -39.27183672108373"
B4145,Crane,"-17.754230103612272, 101.8423652551122","65.03942400081064, -109.2533945843694"
B4146,Warbler,"-21.37107186985537, -150.75840290407805","88.67203255099827, 96.62353269453484"
B4147,Goose,"77.3084145679592, 76.95513640684032","41.6671466058059, 147.63910966218242"
B4148,Crane,"33.19481444664909, -120.54955047396469","-63.72412277748834, -163.53855042134376"
B4149,Eagle,"21.858054214614956, 86.57319062752413","-40.01314353669178, 129.56402192871514"
B4150,Swallow,"46.40951473808596, -129.1216782141442","-66.24238603079338, -22.36924950570696"
B4151,Warbler,"10.950089060108056, 119.69773195449466","-69.20067932751888, -75.9119479633988"
B4152,Swallow,"-61.3499808445692, 65.16585386172449","12.191876737448894, -165.89507862042865"
B4153,Stork,"-32.5412168258824, -41.07949601312868","73.21015024323327, -106.01180285125989"
B4154,Warbler,"10.430075467614556, -50.81960019506997","33.178745040355, -60.16687166935438"
B4155,Hawk,"-86.72979223310995, -126.37905711986896","54.11703550686599, -154.5536726669044"
B4156,Crane,"-11.276873106618991, 145.45920807580194","1.457417044273441, -112.0355766166804"
B4157,Hawk,"46.0445182696686, -137.32946177442753","-4.442201162317943, 85.26255926476614"
B4158,Stork,"-60.437879187070976, -10.052140129514784","78.74722191377904, 67.2698938438607"
B4159,Swallow,"-78.37938897175697, -94.85335627567076","39.9536348518003, 97.14201020613136"
B4160,Warbler,"60.48524533098572, 178.67790288684938","-7.318600090392039, -120.50719908354688"
B4161,Hawk,"21.109296323405147, 30.90385854673136","-30.1351596279183, -164.50914004994073"
B4162,Hawk,"-58.21578495189648, -126.14957877923538","-73.23705123878281, -11.307646353926032"
B4163,Swallow,"55.13489650497485, 60.32303914385054","57.776923989516376, -56.59749536142468"
B4164,Warbler,"28.463304867698227, 176.9792462001185","-59.52173527812043, 99.62390878336254"
B4165,Crane,"-29.858531463281125, 37.815581021534655","2.7028492758845744, 13.977633322608623"
B4166,Swallow,"-22.284671046886945, -15.343525959769975","24.710263084568663, 155.22491156559278"
B4167,Hawk,"-61.940130626331296, -74.42275621728433","43.93405894754923, -157.9656992537477"
B4168,Crane,"60.34600695757325, -146.83557066164354","-74.99815953903126, -49.076508494473046"
B4169,Crane,"1.6211972958735714, -97.83133236364048","-88.07649498384691, -34.11338348328272"
B4170,Swallow,"10.2634337958589, 19.30348064335456","37.08152925202447, -134.67980373838958"
B4171,Hawk,"69.02854473559458, 91.3628515138496","-8.209570543242108, 29.88571733703003"
B4172,Stork,"-87.1504890384431, 136.05512048267389","-57.39563521830485, -165.52711989753013"
B4173,Hawk,"-77.95384874580743, 105.73641013416136","86.76493417011298, 76.58104627870978"
B4174,Goose,"-60.9157832652333, -134.83252750592965","52.4437479454522, -166.5204621244118"
B4175,Warbler,"-84.59319364413379, 98.44555860469684","14.13235100886817, 134.44994013966271"
B4176,Eagle,"28.46810819239191, 29.377636612490026","36.379276721223874, -156.59029023168557"
B4177,Stork,"24.09830427389774, -11.12127929826346","-62.09577783952463, -15.714210655779963"
B4178,Crane,"-52.05565747278259, 26.19508264994903","83.20053511203693, -124.06125642413082"
B4179,Stork,"-63.10683992039495, -177.09288164190448","89.34607422851005, -132.07599174584598"
B4180,Warbler,"-63.77675375041079, -155.61711253043035","26.72019175297865, 79.6376481112685"
B4181,Crane,"81.58345439735561, 9.30574046627322","30.296268259695367, 98.73037509930332"
B4182,Warbler,"34.83081515245348, -117.49707018663926","36.80253463237085, 86.11167135058167"
B4183,Crane,"15.377189123714274, 16.394742768035968","29.841520218978147, -34.56293354467812"
B4184,Stork,"-31.952363075083028, -52.483114125066535","-11.06265088040182, 176.68297336640774"
B4185,Crane,"-12.052224376417868, 146.668327442911","7.321722699759761, -57.61118966885799"
B4186,Crane,"-73.90694138414261, 161.88603382960332","-39.10928445176884, -91.699357987705"
B4187,Goose,"89.66733984990026, 172.722280704667","-9.567375051219472, 178.7419517926544"
B4188,Hawk,"45.91538344289427, 143.61767851781474","-11.501404920689724, 171.819649900848"
B4189,Hawk,"21.861568229081016, 174.92070642923983","-38.1347239835968, 33.060950814505674"
B4190,Eagle,"15.798095141018806, 74.21296526617024","51.60686750770148, -104.7458958168583"
B4191,Eagle,"0.7765869659710489, 165.79522076437854","-16.259039212257505, -94.140414388906"
B4192,Goose,"-43.66306301855475, 51.045287564457766","9.308750214025366, 7.518760233399575"
B4193,Eagle,"-49.24972737724793, 111.31711447885924","-61.90370582652801, 99.39715353577304"
B4194,Warbler,"8.915842294060383, -132.5124026194643","-4.505957967489636, -152.11650801490686"
B4195,Stork,"-77.3638533795687, 65.73585153692088","47.061959616625046, 67.56134419344875"
B4196,Swallow,"-76.59525620366358, 155.19719136069347","-9.98538496075362, -142.8800942431746"
B4197,Warbler,"10.94644856886302, 14.417366951794548","10.393449092496326, 123.87986798753928"
B4198,Swallow,"75.56616867784305, -112.74490312908868","36.307185140980266, 11.562560008673074"
B4199,Swallow,"74.56893320337383, 9.679881861000524","-19.98439656893477, 176.28987256896283"
B4200,Goose,"-88.05090588105739, 74.49875786141578","-26.409140536550368, 91.0736036021413"
B4201,Warbler,"-70.66904118345904, 97.12385967506322","-74.56644754717286, -0.9976833428274574"
B4202,Goose,"14.953984876565102, 8.532723575514211","14.809030985380474, -129.17622620113264"
B4203,Crane,"62.72562992510956, -101.74751128128597","37.25253883136144, 15.262434984939574"
B4204,Swallow,"81.80083559822916, 153.60796388834905","14.62544307100859, -138.7998949995956"
B4205,Stork,"64.90480068824027, 98.5022699232086","-38.96543788344264, 145.85846395755226"
B4206,Eagle,"31.970364353362044, -82.55217577766255","-42.7793622662651, -97.17561025536988"
B4207,Stork,"-53.90548603393757, 112.25265026269476","-61.29222962290011, 131.53200486628157"
B4208,Eagle,"-76.92813468378678, -54.76944617349872","-81.54165042176169, -70.5950795997697"
B4209,Swallow,"-81.44715911658395, -67.52471591938293","-13.161953479285756, -100.1165157853096"
B4210,Swallow,"20.17382123257404, 130.7075858449719","-61.10634217466448, -70.47499005779876"
B4211,Swallow,"-83.4860512772356, 134.36467445416366","34.343586178361804, 74.71949660640985"
B4212,Goose,"43.0631921637991, -36.54669498516751","83.11194171055686, 9.077604837889735"
B4213,Warbler,"38.24473272317445, -176.78779017063678","-76.7733199946963, -141.30990454208035"
B4214,Eagle,"-75.67005154019779, -112.83637629600292","70.73204106078157, -130.65875378663532"
B4215,Warbler,"73.19202570662304, 147.34667816084112","28.388895929550927, -43.729317850859616"
B4216,Goose,"3.947271952554416, 143.5497613398208","64.8502165277055, -58.12433340707396"
B4217,Goose,"72.79894212079171, -16.79589068635886","-62.10740678526497, 126.624748106165"
B4218,Hawk,"72.28981011389797, -70.51798538068371","73.1667651393517, 26.01114857633638"
B4219,Stork,"-54.533868500318704, -71.01061484213821","82.41692786249808, -112.78260500825542"
B4220,Stork,"-21.496026971468737, 142.99012894627373","73.20853961144024, -169.79652030568968"
B4221,Crane,"-65.76725996931307, -63.096008048814056","51.38993365979255, -143.1492819913105"
B4222,Goose,"49.49604182453774, 4.168893506439446","-73.74523369318172, 72.14820602758601"
B4223,Eagle,"0.7424847968152619, 83.16397821344322","-50.26840716433961, 124.95501612999756"
B4224,Hawk,"77.18536357109676, -104.58682502060924","74.36433799935938, 101.7136810457876"
B4225,Hawk,"-52.52126132227007, -88.61793062907829","-48.703626499177, 104.35517120703275"
B4226,Warbler,"33.90617907346068, -51.09771848575434","-27.411474182924422, -86.05405941081555"
B4227,Stork,"88.0626289990876, 55.52042016506039","-80.91415897970799, 176.07097146538814"
B4228,Goose,"29.768627127778444, 114.29663441267805","23.056740830705493, -148.89292674818975"
B4229,Crane,"-77.62069209047172, 16.814074799159812","11.394166008471217, 115.59432127027134"
B4230,Goose,"15.916382945134302, -132.14565480613547","83.11890022337815, -145.1457813787713"
B4231,Warbler,"-57.6283050573774, -19.351611694900413","70.62203435163568, -83.68873030941536"
B4232,Swallow,"-84.50950006452322, -134.03134003565015","1.069900355162531, -1.6509498599143342"
B4233,Goose,"-29.70707448506145, -148.21301891998968","19.68071454945432, -160.79732252496126"
B4234,Warbler,"-42.10126505026817, 32.26203714652121","-15.624572372097065, -38.09831564043904"
B4235,Swallow,"51.97876178683575, 164.23636024725226","-66.15735526659414, -53.9588224098476"
B4236,Swallow,"-22.737502605941916, 121.5402600002614","66.2023071789456, 52.98194943482028"
B4237,Crane,"41.93258046933536, 98.8096545152975","8.9169445809963, 78.48483487905656"
B4238,Eagle,"-87.07698144912034, 81.74014771152014","-13.429417700532966, -147.4216918449212"
B4239,Stork,"-87.33381598198962, 142.96602856885113","-77.6762269138014, -166.29534761967375"
B4240,Goose,"-84.72357764143972, 91.02063029139998","29.76901350385036, 99.32087605142895"
B4241,Swallow,"-50.51548047913552, 45.6758443082777","-18.060316963966457, 10.076899355724208"
B4242,Goose,"-22.682198694858897, -48.71517110146067","-44.33474406958436, 12.46923127190462"
B4243,Eagle,"19.412244561033816, -143.66019965047462","67.81558891844409, 173.05800163501897"
B4244,Stork,"87.4644994488551, -14.027989016156257","-56.946269820165774, -22.413048570143133"
B4245,Eagle,"-26.20627793742014, 152.92232501233224","2.7035773995087453, -109.37069227008698"
B4246,Stork,"-79.98139678371008, 29.91609553505492","53.23608335223028, 65.03081018602975"
B4247,Hawk,"-54.91797090014724, -113.57849523775192","62.83345916028196, 113.64410210872728"
B4248,Stork,"71.61333008667518, 53.64839105310381","57.36697198553105, 0.8498801420763868"
B4249,Crane,"35.888254226587605, -12.433595731018386","71.3927403551707, 69.05325238840823"
B4250,Eagle,"52.23614832694077, 155.29683188986792","-64.37567203891291, 5.015305855967284"
B4251,Swallow,"-67.64972297889733, -122.06163237767908","79.28253583047604, -33.35318696695455"
B4252,Hawk,"-65.70234203264857, 76.32422946243452","-88.05547215069069, -167.65994738268415"
B4253,Crane,"-69.79571864191873, 65.3768873304486","-43.9372796848621, -117.45267047925644"
B4254,Goose,"64.29044957571449, 174.07496826774167","-74.8730256820528, -7.283703932780469"
B4255,Eagle,"-52.205830435151206, 23.36836558263792","80.19596433087287, -37.249713446877"
B4256,Warbler,"25.7673141683499, 133.7666529361104","-13.69158239413754, 123.43815653906417"
B4257,Warbler,"2.909945912986629, -171.10298248868494","-33.25150712190734, -140.9594666778476"
B4258,Swallow,"7.990184137293653, -135.75889143931226","-59.92425656442539, -161.95408754658922"
B4259,Stork,"-54.82163548957172, -55.46211377524901","-61.95277666071837, -148.6305836040314"
B4260,Swallow,"24.34429682171812, 42.95786297660561","20.507703487731376, 64.1133610761357"
B4261,Warbler,"-82.24190379750038, -18.331435811732888","-81.52485004936376, 34.01045196219849"
B4262,Goose,"88.82500972637317, -107.029350955228","16.979467541679412, 47.59931810853732"
B4263,Hawk,"-85.18339683130877, 32.11334636091641","49.43688699578516, -123.50827471805545"
B4264,Hawk,"-80.9718226711448, 24.011661362890607","18.182676052589883, 5.886996478183875"
B4265,Eagle,"-31.56346441949736, 8.80109226750551","58.78417824827264, 96.36121116935595"
B4266,Hawk,"59.692564038516906, -147.39979964014867","-42.25343327127762, 66.19549050609922"
B4267,Eagle,"-43.70594188018627, 153.72917739224312","-76.10912682990195, -22.07239025221349"
B4268,Eagle,"-5.051697517560925, 33.21190933251711","39.77831104623164, -142.73981519593326"
B4269,Eagle,"-86.76408038828527, -84.9629710084834","59.06347027042929, 133.43407701335173"
B4270,Warbler,"-75.80172303294404, 67.47054854202744","0.3017765817817377, 9.433563063834328"
B4271,Warbler,"19.43388873732728, -65.55312328720056","57.71104919797594, 140.27787352633192"
B4272,Stork,"-55.015475499102855, 2.1081696387932998","-7.574552018052074, -22.067959921915843"
B4273,Crane,"34.96582134351456, -57.19256241876613","-54.26502589395729, -94.67531102246204"
B4274,Eagle,"51.37041150309187, 136.94184955356943","-4.60907683076195, -69.33131631318213"
B4275,Eagle,"63.06015590501099, 177.8330104325749","-51.12888318870873, -29.46624213619836"
B4276,Crane,"-65.91611916012192, -121.97445648195648","-5.034317258158993, 41.120327948403485"
B4277,Swallow,"-8.008461174253512, -171.51157779962512","-63.4407193477918, 96.80795577215451"
B4278,Eagle,"80.47466098269223, -101.04389748646472","-56.59882714320851, -92.64937253317316"
B4279,Stork,"48.9750376399754, 32.38271391514084","68.924297785889, -112.4201085616093"
B4280,Hawk,"-68.9471312676933, -117.3775897520881","-69.145527490999, -107.0428395572402"
B4281,Hawk,"0.4500441033109723, 112.13439285821522","-49.63062958282741, 156.41992044414616"
B4282,Goose,"76.02850473099099, -32.878592354000745","89.19360911189767, -120.97841266580916"
B4283,Goose,"-10.793015005826549, 39.79178665708665","13.683332896341582, -55.53242620568484"
B4284,Hawk,"60.73516959137439, -15.977577015770803","15.447459088703823, -5.087656698307001"
B4285,Hawk,"-0.7481301860596972, 145.1980517828233","62.09475775601993, 20.233254823618893"
B4286,Warbler,"-70.77389809576434, -167.35127865758","4.3775345680123365, 128.91065162548438"
B4287,Stork,"-63.38611330928868, 82.54868243637588","-50.07924837297814, -139.36181636190508"
B4288,Crane,"-81.59836449452766, 54.781968002712006","-13.956019865858837, -141.11517846124707"
B4289,Goose,"-54.84334669639839, 53.82541115487357","45.90022565348315, -66.09252604172167"
B4290,Warbler,"70.85053797667814, -30.96381850624616","67.04071891981022, -31.24747529152916"
B4291,Warbler,"27.035648269786208, -174.3569177486769","-40.82331150030687, -45.44076169231826"
B4292,Crane,"42.994248278923976, 68.12665990846483","-42.84445245494521, -38.91534985129317"
B4293,Warbler,"21.899062510799, 118.60963661097117","-31.030522882596784, 126.52380038790552"
B4294,Stork,"-20.42292741509742, -149.31708804455468","17.317925974111986, 121.20059509054812"
B4295,Hawk,"-50.96499609671971, -21.017698472171304","-39.86836819085787, 109.98047003137526"
B4296,Eagle,"76.61062512176954, -121.46585257906048","70.76464658290666, 91.90104040263174"
B4297,Crane,"2.669360680443873, 39.93760311465897","86.04136596893653, -165.4598646351774"
B4298,Hawk,"-3.402021382570922, 102.81775548925322","32.24158604903427, -126.2204270186716"
B4299,Hawk,"89.29873594683824, 60.014363373866274","84.6539452894041, 83.58935163802647"
B4300,Swallow,"-20.89260209007422, -65.49837462508123","-38.18691567013144, 34.14381239843149"
B4301,Crane,"63.74255668060303, -129.69622698034183","56.73066357339775, 62.62004804156254"
B4302,Warbler,"65.22193085703412, 105.9365325781664","32.120035172056404, 78.0952989308945"
B4303,Eagle,"-48.1193621355968, -63.389930942630826","-42.625470480473325, 148.0912954982462"
